amount,revenue,type,default
333.02,51282.46,B,0
572.73,36924.89,B,0
701.65,28501.27,B,0
738.21,37395.16,B,0
1074.57,12521.48,A,0
946.63,30096.83,B,0
0,17250.94,B,0
48.82,27159.03,B,0
1212.98,62489.28,B,0
788.77,46106.26,B,0
1175.45,35943.86,B,0
497.24,51722.03,B,0
578.82,17253.77,A,0
1425.41,40237.14,B,0
1455.32,21890.9,A,0
572.43,40024.89,B,0
1140.87,45296.26,B,0
508.76,23964.71,A,0
436.15,37342.62,B,0
585.11,38726.42,B,0
0,25129.1,B,0
609.14,38124.02,B,0
1057.19,23600.67,A,0
1282.22,15515.35,A,0
1163.97,33513.52,B,0
619.26,41893.6,B,0
0,52606.19,B,0
1190.11,21208.85,A,0
875.06,41747.09,B,0
1074.31,61182.82,B,0
1155.35,14346.38,A,0
840.75,21068.79,A,0
561.67,21280.03,A,0
481.87,35829.05,B,0
921.12,52694.33,B,0
1154.96,37856.02,B,0
207.06,17815.52,B,0
1724.92,18537.36,B,1
216.53,25252.49,B,0
1072.37,39957.2,B,0
737,34484.86,B,0
1400.21,51936.94,B,0
425.42,14205.42,A,0
1013.94,17930.78,A,0
460.45,21002.93,B,0
0,49970.51,B,0
492.79,22912.62,B,0
395.33,19925.89,A,0
1359.96,39321.14,B,0
851.37,53983.93,B,0
1360.46,46165.94,B,0
57.5,35416.5,B,0
1078.27,13682.83,A,0
1600.55,15356.64,A,0
498.36,33533.48,B,0
1066.16,37365.24,B,0
464.28,30581.5,B,0
612.85,50945.09,B,0
286.79,37676.12,B,0
215.82,38729.01,B,0
966.65,33601.96,B,0
232.47,67992.95,B,0
1114.55,12625.84,A,0
412.63,44037.25,B,0
963.02,26546.42,B,0
892.57,18978.41,B,0
1275.08,17571.35,A,0
1164.25,38088.45,B,0
618.23,28170.23,B,0
1743.1,34900.73,B,0
240.24,40002.24,B,0
785.53,18958.23,B,0
710.39,54871.51,B,0
977.66,13150.12,A,0
951.5,47494.84,B,0
966.03,33440.35,B,0
1418.3,23248.85,A,0
161.08,44007.56,B,0
186.54,49999.79,B,0
323.79,36085.91,B,0
621.51,18434.34,A,0
1669.51,60656.04,B,0
0,30564.33,B,0
876.03,18227.1,B,0
807.99,36355.84,B,0
0,27350.43,B,0
18.57,43209.23,B,0
867.12,17283.91,B,0
546.91,52212.54,B,0
1263.29,28049.3,B,0
855.74,39206.15,B,0
462.03,59396.48,B,0
69.76,40754.51,B,0
421.16,46255.44,B,0
1040.63,34178.12,B,0
783.44,25703.16,B,0
453.69,19385.72,A,0
595.14,39085.95,B,0
83.44,43416.59,B,0
741.35,31187.23,B,0
14.11,13864.61,A,0
1286.57,20146.33,A,0
733.35,24587.86,A,0
761.98,17746.03,A,0
445.2,37221.58,B,0
788.09,12704.03,A,0
1297.76,43658.09,B,0
1359.05,11211.78,A,0
12.96,46901.93,B,0
866.19,22142.33,A,0
867.02,17911.43,A,0
929.87,48256.29,B,0
660.43,36110.82,B,0
1002.04,47559.71,B,0
1210.5,42528.46,B,0
555.3,18689.08,A,0
370.61,46833.79,B,0
807.21,47880.06,B,0
1315.3,30000.9,B,0
1350.4,21347.78,A,0
921.65,42221.89,B,0
922.27,19067.61,B,0
1274.56,61781.27,B,0
980.21,33558.47,B,0
530.39,22965.22,A,0
280.95,39151.34,B,0
22.92,37643.14,B,0
0,31226.07,B,0
741.72,54881.89,B,0
902.77,48923.12,B,0
1589.38,56202.4,B,0
518.66,15017.42,A,0
523.45,54556.64,B,0
40.62,33117.16,B,0
325.54,33615.52,B,0
1519.93,19399.36,A,0
1044.99,45383.57,B,0
1003.3,33975.29,B,0
1247.72,15106.32,A,0
1660.81,9859.19,A,0
1304.81,22215.88,A,0
625.9,20881.42,A,0
540.35,34840.31,B,0
881.03,44031.58,B,0
539.37,48329.39,B,0
690.67,56654.3,B,0
643.37,44571.22,B,0
1378.92,49128.54,B,0
2011.25,43694.37,B,1
496.89,38405.17,B,0
1530.55,18862.26,A,0
726.28,26515.4,A,0
1797.32,50098.54,B,1
600.8,34645.73,B,0
246.8,36760.84,B,0
10.83,33079.39,B,0
88.26,36436.66,B,0
838.83,34273.54,B,0
551.59,30837.57,B,0
1015.58,40831.38,B,0
1186.46,16492.48,A,0
1732.42,46353.07,B,0
1213.11,47684.85,B,0
505.82,15643.82,A,0
428.23,15322.63,A,0
150.06,41419.81,B,0
827.73,34199.97,B,0
1788.52,18557.64,A,0
895.1,21071.48,B,0
324.4,32960.33,B,0
796.42,10308.41,A,0
1244.15,38697.11,B,0
0,49376.49,B,0
719.78,16086.09,A,0
86.71,52131.45,B,0
1498.9,31156.81,B,0
75.74,49618.89,B,0
1000.2,47137.02,B,0
897.79,35939.1,B,0
1184.7,13080.78,A,0
823.9,11933.24,A,0
1424.57,41268.92,B,0
74.51,50637.66,B,0
1363.84,38991.13,B,1
432.66,52821.52,B,0
1249.22,27238.35,A,0
1301.66,16247.02,A,0
270.56,55125.57,B,0
955.18,42215.93,B,0
1042.39,10706.56,B,0
711.36,36992.27,B,0
0,36746.85,B,0
1026,13926.2,A,0
817.74,50237.63,B,0
1796.55,45043.64,B,1
515.19,38534.1,B,0
1214.64,12159.46,A,0
761.8,36896.09,B,0
322.89,58092.93,B,0
694.77,42984.97,B,0
836.89,41122.91,B,0
1170.02,39044,B,0
580.5,23454.66,A,0
1298.26,49157.92,B,0
932.65,24560.68,B,0
1137.46,55633.16,B,0
0,47779.48,B,0
890.03,41630.58,B,0
984.74,45620.98,B,0
633.17,42353.78,B,0
1297.83,37581.36,B,0
1627.68,37111.36,B,0
717.86,52687.5,B,0
1238.44,19237.59,A,0
1246.85,34010.17,B,0
1225.36,32633.2,B,0
